municipio,codigo_ibge,epi_year_ref,epi_week_ref,tipo_alerta,confirmado,exames_ref,exames_futuro,tipo_sinal,fonte_flag
CACERES,5102504.0,2026,13,pressao_alta,1,8.0,636.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,13,pressao_alta,1,45.0,107.0,Observado,alerta_emergencia_historico
CHAPADA DOS GUIMARAES,5103007.0,2026,13,pressao_alta,1,12.0,24.0,Observado,alerta_emergencia_historico
CHAPADA DOS GUIMARAES,5103007.0,2026,13,sla_crise,1,12.0,24.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,13,pressao_alta,0,434.0,512.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,13,sla_crise,1,434.0,512.0,Observado,alerta_emergencia_historico
LUCAS DO RIO VERDE,5105507.0,2026,13,pressao_alta,0,56.0,49.0,Observado,alerta_emergencia_historico
NOVA OLIMPIA,5106265.0,2026,13,sla_crise,1,0.0,11.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,13,pressao_alta,0,61.0,59.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,13,pressao_alta,0,73.0,50.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,13,sla_crise,1,73.0,50.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,13,pressao_alta,1,380.0,542.0,Observado,alerta_emergencia_historico
BARRA DO BUGRES,5101704.0,2026,14,sla_crise,1,3.0,10.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,14,pressao_alta,1,359.0,698.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,14,pressao_alta,1,61.0,144.0,Observado,alerta_emergencia_historico
CAMPO VERDE,5102678.0,2026,14,pressao_alta,1,106.0,136.0,Observado,alerta_emergencia_historico
CAMPO VERDE,5102678.0,2026,14,sla_crise,1,106.0,136.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,14,pressao_alta,1,275.0,551.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,14,sla_crise,1,275.0,551.0,Observado,alerta_emergencia_historico
PORTO ESPERIDIAO,5106901.0,2026,14,pressao_alta,1,2.0,25.0,Observado,alerta_emergencia_historico
PRIMAVERA DO LESTE,5107065.0,2026,14,pressao_alta,0,40.0,39.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,14,pressao_alta,1,29.0,84.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,14,sla_crise,1,29.0,84.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,14,pressao_alta,1,338.0,614.0,Observado,alerta_emergencia_historico
VILA BELA DA SANTISSIMA TRINDADE,5108550.0,2026,14,pressao_alta,1,8.0,21.0,Observado,alerta_emergencia_historico
VILA BELA DA SANTISSIMA TRINDADE,5108550.0,2026,14,sla_crise,1,8.0,21.0,Observado,alerta_emergencia_historico
BARRA DO BUGRES,5101704.0,2026,15,pressao_alta,1,6.0,10.0,Observado,alerta_emergencia_historico
BARRA DO BUGRES,5101704.0,2026,15,sla_crise,1,6.0,10.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,15,pressao_alta,1,277.0,442.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,15,pressao_alta,1,46.0,232.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,15,silencio_gal,0,237.0,652.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,15,pressao_alta,1,237.0,652.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,15,sla_crise,1,237.0,652.0,Observado,alerta_emergencia_historico
DIAMANTINO,5103601.0,2026,15,sla_crise,1,7.0,5.0,Observado,alerta_emergencia_historico
NOVA OLIMPIA,5106265.0,2026,15,sla_crise,0,3.0,1.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,15,pressao_alta,1,22.0,160.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,15,pressao_alta,1,21.0,120.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,15,sla_crise,1,21.0,120.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,15,pressao_alta,1,204.0,801.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,16,pressao_alta,0,421.0,31.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,16,pressao_alta,1,98.0,193.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,16,pressao_alta,1,314.0,569.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,16,sla_crise,1,314.0,569.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,16,pressao_alta,1,97.0,136.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,16,sla_crise,1,97.0,136.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,16,pressao_alta,1,70.0,159.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,16,pressao_alta,1,63.0,84.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,16,sla_crise,1,63.0,84.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,16,pressao_alta,1,410.0,543.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,17,pressao_alta,1,21.0,55.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,17,pressao_alta,0,134.0,147.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,17,pressao_alta,1,338.0,506.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,17,sla_crise,1,338.0,506.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,17,pressao_alta,1,18.0,21.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,17,sla_crise,1,18.0,21.0,Observado,alerta_emergencia_historico
PRIMAVERA DO LESTE,5107065.0,2026,17,pressao_alta,0,48.0,36.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,17,pressao_alta,1,90.0,119.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,17,pressao_alta,0,57.0,64.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,17,sla_crise,1,57.0,64.0,Observado,alerta_emergencia_historico
ALTO PARAGUAI,5100508.0,2026,18,sla_crise,0,0.0,2.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,18,pressao_alta,1,10.0,68.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,18,pressao_alta,1,59.0,228.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,18,silencio_gal,0,231.0,604.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,18,pressao_alta,1,231.0,604.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,18,sla_crise,1,231.0,604.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,18,pressao_alta,1,35.0,128.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,18,sla_crise,1,35.0,128.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,18,pressao_alta,1,69.0,113.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,18,silencio_gal,0,27.0,103.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,18,pressao_alta,1,27.0,103.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,18,sla_crise,1,27.0,103.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,18,pressao_alta,1,152.0,691.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,19,pressao_alta,0,45.0,39.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,19,pressao_alta,1,88.0,175.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,19,pressao_alta,1,275.0,587.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,19,sla_crise,1,275.0,587.0,Observado,alerta_emergencia_historico
NOVA LACERDA,5106190.0,2026,19,sla_crise,0,1.0,2.0,Observado,alerta_emergencia_historico
NOVA MARILANDIA,5106224.0,2026,19,sla_crise,1,1.0,4.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,19,pressao_alta,1,16.0,62.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,19,sla_crise,1,16.0,62.0,Observado,alerta_emergencia_historico
NOVA OLIMPIA,5106265.0,2026,19,sla_crise,0,3.0,2.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,19,pressao_alta,1,50.0,122.0,Observado,alerta_emergencia_historico
SORRISO,5107941.0,2026,19,pressao_alta,1,65.0,174.0,Observado,alerta_emergencia_historico
SORRISO,5107941.0,2026,19,sla_crise,1,65.0,174.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,19,pressao_alta,1,37.0,106.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,19,sla_crise,1,37.0,106.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,19,pressao_alta,1,206.0,644.0,Observado,alerta_emergencia_historico
BARRA DO BUGRES,5101704.0,2026,20,sla_crise,1,14.0,8.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,20,pressao_alta,1,23.0,40.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,20,pressao_alta,1,329.0,549.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,20,sla_crise,1,329.0,549.0,Observado,alerta_emergencia_historico
NOVA OLIMPIA,5106265.0,2026,20,sla_crise,0,1.0,1.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,20,pressao_alta,0,75.0,65.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,20,sla_crise,1,75.0,65.0,Observado,alerta_emergencia_historico
RONDONOPOLIS,5107602.0,2026,20,pressao_alta,1,77.0,147.0,Observado,alerta_emergencia_historico
SAPEZAL,5107883.0,2026,20,sla_crise,0,41.0,1.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,20,pressao_alta,1,63.0,106.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,20,pressao_alta,0,66.0,80.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,20,sla_crise,1,66.0,80.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,20,pressao_alta,0,485.0,349.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,21,pressao_alta,1,258.0,503.0,Observado,alerta_emergencia_historico
CUIABA,5103437.0,2026,21,sla_crise,1,258.0,503.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,21,silencio_gal,1,159.0,335.0,Observado,alerta_emergencia_historico
VARZEA GRANDE,5108402.0,2026,21,pressao_alta,1,159.0,335.0,Observado,alerta_emergencia_historico
CACERES,5102504.0,2026,21,pressao_alta,1,16.0,32.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,21,pressao_alta,1,40.0,65.0,Observado,alerta_emergencia_historico
TANGARA DA SERRA,5108006.0,2026,21,sla_crise,1,40.0,65.0,Observado,alerta_emergencia_historico
SINOP,5107925.0,2026,21,pressao_alta,1,59.0,71.0,Observado,alerta_emergencia_historico
CAMPO VERDE,5102678.0,2026,21,pressao_alta,1,19.0,64.0,Observado,alerta_emergencia_historico
CAMPO VERDE,5102678.0,2026,21,sla_crise,1,19.0,64.0,Observado,alerta_emergencia_historico
CAMPO NOVO DO PARECIS,5102637.0,2026,21,pressao_alta,0,35.0,40.0,Observado,alerta_emergencia_historico
RONDONOPOLIS,5107602.0,2026,21,pressao_alta,1,17.0,205.0,Observado,alerta_emergencia_historico
SORRISO,5107941.0,2026,21,pressao_alta,1,49.0,77.0,Observado,alerta_emergencia_historico
SORRISO,5107941.0,2026,21,sla_crise,1,49.0,77.0,Observado,alerta_emergencia_historico
COLIDER,5103205.0,2026,21,pressao_alta,1,9.0,19.0,Observado,alerta_emergencia_historico
LUCAS DO RIO VERDE,5105507.0,2026,21,pressao_alta,1,63.0,98.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,21,pressao_alta,0,39.0,39.0,Observado,alerta_emergencia_historico
PONTES E LACERDA,5106851.0,2026,21,sla_crise,1,39.0,39.0,Observado,alerta_emergencia_historico
PRIMAVERA DO LESTE,5107065.0,2026,21,pressao_alta,1,33.0,58.0,Observado,alerta_emergencia_historico
CHAPADA DOS GUIMARAES,5103007.0,2026,21,pressao_alta,1,13.0,18.0,Observado,alerta_emergencia_historico
CHAPADA DOS GUIMARAES,5103007.0,2026,21,sla_crise,1,13.0,18.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,21,pressao_alta,1,29.0,30.0,Observado,alerta_emergencia_historico
NOVA MUTUM,5106257.0,2026,21,sla_crise,1,29.0,30.0,Observado,alerta_emergencia_historico
GUARANTA DO NORTE,5104203.0,2026,21,divergencia,0,26.0,40.0,Observado,alerta_emergencia_historico
GUARANTA DO NORTE,5104203.0,2026,21,pressao_alta,1,26.0,40.0,Observado,alerta_emergencia_historico
GUARANTA DO NORTE,5104203.0,2026,21,sla_crise,1,26.0,40.0,Observado,alerta_emergencia_historico
ARAPUTANGA,5101258.0,2026,21,pressao_alta,0,6.0,3.0,Observado,alerta_emergencia_historico
ARAPUTANGA,5101258.0,2026,21,sla_crise,1,6.0,3.0,Observado,alerta_emergencia_historico
JUINA,5105200.0,2026,21,divergencia,0,22.0,52.0,Observado,alerta_emergencia_historico
JUINA,5105200.0,2026,21,pressao_alta,1,22.0,52.0,Observado,alerta_emergencia_historico
JUINA,5105200.0,2026,21,sla_crise,1,22.0,52.0,Observado,alerta_emergencia_historico
ALTO BOA VISTA,5100359.0,2026,21,divergencia,0,0.0,2.0,Observado,alerta_emergencia_historico
TESOURO,5108204.0,2026,21,divergencia,0,0.0,1.0,Observado,alerta_emergencia_historico
TESOURO,5108204.0,2026,21,sla_crise,0,0.0,1.0,Observado,alerta_emergencia_historico
PEIXOTO DE AZEVEDO,5106703.0,2026,21,silencio_gal,0,5.0,14.0,Observado,alerta_emergencia_historico
PEIXOTO DE AZEVEDO,5106703.0,2026,21,divergencia,0,5.0,14.0,Observado,alerta_emergencia_historico
ITANHANGA,5104559.0,2026,21,divergencia,0,0.0,1.0,Observado,alerta_emergencia_historico
ITANHANGA,5104559.0,2026,21,sla_crise,0,0.0,1.0,Observado,alerta_emergencia_historico
JACIARA,5104906.0,2026,21,divergencia,0,5.0,24.0,Observado,alerta_emergencia_historico
JACIARA,5104906.0,2026,21,sla_crise,1,5.0,24.0,Observado,alerta_emergencia_historico
